Part Number,Finish,Length,Units,List Price,Page Number(s)
BE9-1704,Bronze,24’ - 0”,1 pc.,608,"D2-4, D2-6, D2-8"
BE9-1704,Paint,24’ - 0”,1 pc.,642,"D2-4, D2-6, D2-8"
BE9-1706,Clear,24’ - 0”,1 pc.,582,D2-6
BE9-1706,Bronze,24’ - 0”,1 pc.,605,D2-6
"Part Number                  Finish             Length              Units               List Price         Page Number(s)
or Pkg                per Unit",,,,,
BE9-1706,Paint,24’ - 0”,1 pc.,648,D2-6
BE9-1709,Clear,24’ - 0”,1 pc.,230,"D2-4, D2-7, D2-9, D2-10, D2-12, D5-10, D5-16"
BE9-1709,Bronze,24’ - 0”,1 pc.,251,"D2-4, D2-7, D2-9, D2-10, D2-12, D5-10, D5-16"
BE9-1709,Paint,24’ - 0”,1 pc.,339,"D2-4, D2-7, D2-9, D2-10, D2-12, D5-10, D5-16"
BE9-1710,Clear,24’ - 0”,1 pc.,885,"D2-5, D2-7, D2-9, D5-4, D5-10"
BE9-1710,Bronze,24’ - 0”,1 pc.,941,"D2-5, D2-7, D2-9, D5-4, D5-10"
BE9-1710,Paint,24’ - 0”,1 pc.,1115,"D2-5, D2-7, D2-9, D5-4, D5-10"
